Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.14709473,-92.99622000,-82.68645000
0.14770508,-97.37372000,-82.05695000
0.14831543,-91.48086000,-75.28888000
0.14892578,-89.70529000,-60.48825000
0.14953613,-73.14085000,-46.72937000
0.15014648,-70.08855000,-44.41139000
0.15075684,-75.33453000,-51.49953000
0.15136719,-85.93108000,-70.97641000
0.15197754,-90.74670000,-71.90220000
0.15258789,-88.13523000,-72.35076000
0.15319824,-84.10107000,-72.21826000
0.15380859,-86.62594000,-73.08682000
0.15441895,-92.85142000,-96.64900000
0.15502930,-96.75724000,-74.32578000
0.15563965,-94.04461000,-73.47305000
0.15625000,-85.75565000,-70.55817000
0.15686035,-86.93360000,-68.73709000
0.15747070,-93.98109000,-68.15593000
0.15808105,-106.99280000,-70.80374000
0.15869141,-101.86510000,-72.88905000
0.15930176,-92.03566000,-62.53968000
0.15991211,-87.44981000,-57.90398000
0.16052246,-88.60464000,-62.71131000
0.16113281,-87.54042000,-78.63312000
0.16174316,-84.68808000,-70.77426000
0.16235352,-84.11172000,-76.45007000
0.16296387,-85.75680000,-69.39142000
0.16357422,-88.69829000,-70.16061000
0.16418457,-96.33915000,-69.83188000
0.16479492,-107.35230000,-70.46397000
0.16540527,-93.74744000,-70.20081000
0.16601563,-94.15688000,-71.32226000
0.16662598,-88.04798000,-69.81606000
0.16723633,-84.90620000,-67.05936000
0.16784668,-88.81212000,-70.10686000
0.16845703,-93.74687000,-77.25857000
0.16906738,-86.10353000,-72.22410000
0.16967773,-76.99010000,-59.52626000
0.17028809,-77.43195000,-58.40488000
0.17089844,-87.30153000,-67.65853000
0.17150879,-93.25528000,-70.68552000
0.17211914,-86.47430000,-70.98521000
0.17272949,-88.72960000,-84.36955000
0.17333984,-90.49400000,-73.50910000
0.17395020,-87.70524000,-79.81536000
0.17456055,-94.39453000,-85.77081000
0.17517090,-95.07503000,-70.40575000
0.17578125,-92.23023000,-66.94315000
0.17639160,-93.55521000,-67.93807000
0.17700195,-92.12582000,-71.41113000
0.17761230,-92.57575000,-74.79379000
0.17822266,-103.80680000,-83.10894000
0.17883301,-95.30237000,-70.76264000
0.17944336,-87.37110000,-58.07676000
0.18005371,-85.43269000,-54.85033000
0.18066406,-92.61330000,-58.77558000
0.18127441,-102.38830000,-68.97806000
0.18188477,-99.20569000,-73.24516000
0.18249512,-96.34515000,-74.30127000
0.18310547,-91.96857000,-78.69603000
0.18371582,-90.31124000,-68.89642000
0.18432617,-87.57932000,-70.75677000
0.18493652,-87.96272000,-84.11246000
0.18554688,-91.66670000,-73.20589000
0.18615723,-101.51700000,-69.18588000
0.18676758,-97.25014000,-68.34115000
0.18737793,-88.32472000,-64.88333000
0.18798828,-84.75158000,-68.13853000
