Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.14709473,-91.93389000,-71.34389000
0.14770508,-91.88406000,-68.17979000
0.14831543,-89.71849000,-64.99392000
0.14892578,-71.21202000,-47.88030000
0.14953613,-58.96429000,-34.91653000
0.15014648,-56.69196000,-32.58864000
0.15075684,-63.43530000,-39.29739000
0.15136719,-81.56708000,-57.12086000
0.15197754,-88.76435000,-67.77905000
0.15258789,-89.90739000,-66.60619000
0.15319824,-94.09126000,-68.67197000
0.15380859,-89.05231000,-76.79761000
0.15441895,-97.51132000,-73.33687000
0.15502930,-88.78168000,-72.27771000
0.15563965,-86.56467000,-69.62445000
0.15625000,-92.84186000,-72.90661000
0.15686035,-97.84653000,-90.32711000
0.15747070,-97.30669000,-77.76434000
0.15808105,-103.72840000,-66.51180000
0.15869141,-97.99521000,-65.19281000
0.15930176,-89.43745000,-70.27724000
0.15991211,-91.33873000,-75.16135000
0.16052246,-89.54958000,-73.93647000
0.16113281,-87.97974000,-73.69554000
0.16174316,-91.08240000,-69.39780000
0.16235352,-100.67630000,-69.64536000
0.16296387,-101.12190000,-76.46455000
0.16357422,-92.16992000,-77.12810000
0.16418457,-89.50301000,-69.10608000
0.16479492,-91.94930000,-69.27903000
0.16540527,-88.42757000,-70.18500000
0.16601563,-84.63303000,-72.40105000
0.16662598,-82.50513000,-70.08411000
0.16723633,-83.31814000,-71.26910000
0.16784668,-86.76499000,-73.28270000
0.16845703,-98.69991000,-73.56477000
0.16906738,-88.12862000,-62.57030000
0.16967773,-77.51509000,-54.93079000
0.17028809,-76.14330000,-55.61069000
0.17089844,-82.99195000,-65.14149000
0.17150879,-100.32860000,-76.40961000
0.17211914,-92.72373000,-74.42152000
0.17272949,-89.77670000,-84.53891000
0.17333984,-97.99892000,-69.84505000
0.17395020,-93.57884000,-70.90956000
0.17456055,-92.87395000,-70.89529000
0.17517090,-93.00034000,-74.45390000
0.17578125,-88.80001000,-80.76929000
0.17639160,-90.50236000,-77.21344000
0.17700195,-92.12888000,-78.92697000
0.17761230,-92.99562000,-82.01295000
0.17822266,-98.43515000,-77.62532000
0.17883301,-86.52425000,-67.13334000
0.17944336,-76.01784000,-53.03327000
0.18005371,-72.73896000,-49.73018000
0.18066406,-77.50076000,-54.55035000
0.18127441,-88.19647000,-66.16670000
0.18188477,-88.88343000,-79.43469000
0.18249512,-92.58321000,-75.86284000
0.18310547,-116.94310000,-75.88145000
0.18371582,-91.21479000,-76.89859000
0.18432617,-87.34682000,-71.69363000
0.18493652,-90.78294000,-68.91427000
0.18554688,-101.14930000,-67.57738000
0.18615723,-103.26320000,-66.90257000
0.18676758,-94.56102000,-68.32893000
0.18737793,-92.76956000,-67.32180000
0.18798828,-92.44361000,-67.82769000
