Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.14709473,-90.70375000,-65.11962000
0.14770508,-89.17366000,-71.19154000
0.14831543,-89.44482000,-76.83542000
0.14892578,-69.35681000,-46.99316000
0.14953613,-57.57640000,-34.32897000
0.15014648,-55.55104000,-32.06096000
0.15075684,-62.51313000,-39.05565000
0.15136719,-81.26770000,-60.35554000
0.15197754,-91.53127000,-70.10927000
0.15258789,-95.02140000,-69.84064000
0.15319824,-87.34016000,-77.99500000
0.15380859,-87.49474000,-94.07914000
0.15441895,-88.76583000,-73.58100000
0.15502930,-89.05016000,-74.24078000
0.15563965,-87.54215000,-78.65406000
0.15625000,-88.40573000,-74.04910000
0.15686035,-89.59637000,-74.01357000
0.15747070,-92.63877000,-71.06332000
0.15808105,-94.70181000,-77.72350000
0.15869141,-87.63377000,-68.52576000
0.15930176,-84.20991000,-64.57093000
0.15991211,-84.46352000,-63.93059000
0.16052246,-90.26200000,-65.13210000
0.16113281,-102.70560000,-69.83881000
0.16174316,-94.97422000,-72.09367000
0.16235352,-92.22475000,-67.94545000
0.16296387,-87.85976000,-68.05779000
0.16357422,-88.09547000,-77.00148000
0.16418457,-92.25559000,-70.69036000
0.16479492,-95.58369000,-68.91895000
0.16540527,-91.55013000,-71.45921000
0.16601563,-92.93852000,-85.45830000
0.16662598,-100.32060000,-73.38811000
0.16723633,-100.56370000,-72.31866000
0.16784668,-101.76700000,-84.50489000
0.16845703,-96.59042000,-84.89569000
0.16906738,-85.11634000,-62.17082000
0.16967773,-77.38114000,-53.84123000
0.17028809,-78.17235000,-54.52639000
0.17089844,-88.97978000,-64.42574000
0.17150879,-89.58716000,-68.06851000
0.17211914,-92.97858000,-67.97243000
0.17272949,-94.76510000,-71.70368000
0.17333984,-91.74063000,-74.06068000
0.17395020,-95.65037000,-69.39694000
0.17456055,-90.41733000,-70.65009000
0.17517090,-88.36900000,-71.71917000
0.17578125,-87.35649000,-81.76804000
0.17639160,-83.72983000,-76.63461000
0.17700195,-84.69055000,-79.34756000
0.17761230,-85.04279000,-79.19214000
0.17822266,-84.32401000,-82.15895000
0.17883301,-87.30575000,-76.25851000
0.17944336,-77.71895000,-55.33310000
0.18005371,-74.12722000,-50.83012000
0.18066406,-79.38504000,-55.69934000
0.18127441,-92.63708000,-72.61031000
0.18188477,-88.95034000,-72.71671000
0.18249512,-84.12315000,-70.57160000
0.18310547,-84.64743000,-74.29108000
0.18371582,-89.74355000,-74.02226000
0.18432617,-95.08938000,-73.22382000
0.18493652,-91.01296000,-71.68996000
0.18554688,-92.79311000,-68.17854000
0.18615723,-88.79205000,-68.55949000
0.18676758,-88.86440000,-75.35443000
0.18737793,-92.31474000,-71.11782000
0.18798828,-92.11304000,-68.17054000
