Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.14709473,-94.72450000,-64.38128000
0.14770508,-107.98580000,-75.62124000
0.14831543,-101.83390000,-71.10780000
0.14892578,-82.05432000,-59.10787000
0.14953613,-70.19824000,-46.38298000
0.15014648,-69.13102000,-44.19477000
0.15075684,-79.58848000,-51.31947000
0.15136719,-87.66481000,-71.87383000
0.15197754,-88.96143000,-87.77798000
0.15258789,-93.24214000,-77.28482000
0.15319824,-96.33277000,-74.19170000
0.15380859,-88.59891000,-71.82773000
0.15441895,-91.78468000,-71.65750000
0.15502930,-98.56655000,-68.40964000
0.15563965,-91.48427000,-70.86060000
0.15625000,-89.13083000,-69.10190000
0.15686035,-87.68516000,-64.20440000
0.15747070,-88.49475000,-65.42807000
0.15808105,-87.94562000,-74.57549000
0.15869141,-94.99280000,-74.94257000
0.15930176,-100.09270000,-69.62014000
0.15991211,-83.90501000,-59.94912000
0.16052246,-82.32883000,-63.38181000
0.16113281,-92.62039000,-80.66280000
0.16174316,-91.14871000,-68.71045000
0.16235352,-88.31419000,-70.08746000
0.16296387,-91.57007000,-73.77013000
0.16357422,-93.04046000,-73.32950000
0.16418457,-97.45759000,-76.19222000
0.16479492,-102.50660000,-79.33904000
0.16540527,-98.07928000,-81.92162000
0.16601563,-99.23767000,-74.64830000
0.16662598,-90.83191000,-70.38489000
0.16723633,-93.77930000,-72.00842000
0.16784668,-94.35281000,-74.27764000
0.16845703,-96.71794000,-72.10229000
0.16906738,-91.50288000,-64.12295000
0.16967773,-80.35745000,-55.54932000
0.17028809,-77.95367000,-56.06212000
0.17089844,-84.80060000,-64.21470000
0.17150879,-97.09964000,-67.01446000
0.17211914,-91.02828000,-70.95381000
0.17272949,-90.98502000,-70.68410000
0.17333984,-90.48015000,-66.50346000
0.17395020,-92.97017000,-69.22418000
0.17456055,-100.10100000,-70.27320000
0.17517090,-92.61156000,-66.23950000
0.17578125,-94.90694000,-69.98157000
0.17639160,-89.48730000,-81.41141000
0.17700195,-88.48365000,-73.69781000
0.17761230,-91.67039000,-74.49842000
0.17822266,-95.35455000,-76.88814000
0.17883301,-96.33643000,-70.39386000
0.17944336,-95.65307000,-61.09781000
0.18005371,-90.92040000,-58.26904000
0.18066406,-92.13352000,-65.11613000
0.18127441,-94.68444000,-73.67637000
0.18188477,-88.89085000,-74.95801000
0.18249512,-87.19759000,-69.25266000
0.18310547,-92.66785000,-64.68978000
0.18371582,-99.98055000,-66.91420000
0.18432617,-104.65990000,-70.96967000
0.18493652,-89.98549000,-75.02068000
0.18554688,-91.06020000,-84.13603000
0.18615723,-89.74876000,-72.87064000
0.18676758,-84.18959000,-69.45115000
0.18737793,-85.16892000,-70.32468000
0.18798828,-86.22151000,-65.50703000
